Chamber,1,Data,File,,
C:\Users\UT,South,Western,MC\Documents\MED,Associates\MEDCMG\mouse,1
IR=,6,SD=,14.5,MP=,67.37
9/14/23,8:48:26,AM,,,
Time,Motion,Scale,Vol,Vol,Pressure
96,0,0.003,7.3,7.3,16.8
96.25,0,0.003,7.4,7.4,16.8
96.5,0,0.003,7.4,7.4,16.8
96.75,0,0.003,7.4,7.4,16.8
97,0,0.003,7.4,7.4,16.8
97.25,0,0.003,7.5,7.5,16.8
97.5,0,0.003,7.5,7.5,16.8
97.75,0,0.003,7.5,7.5,16.8
98,0,0.003,7.5,7.5,16.8
98.25,0,0.003,7.6,7.6,16.8
98.5,0,0.003,7.6,7.6,16.8
98.75,0,0.003,7.6,7.6,16.8
99,0,0.002,7.6,7.6,16.7
99.25,0,0.002,7.7,7.7,16.6
99.5,0,0.002,7.7,7.7,16.5
99.75,0,0.002,7.7,7.7,16.4
100,0,0.002,7.7,7.7,16.4
100.25,0,0.002,7.8,7.8,16.4
100.5,0,0.002,7.8,7.8,16.4
100.75,0,0.002,7.8,7.8,16.4
101,0,0.002,7.8,7.8,16.6
101.25,0,0.002,7.9,7.9,16.8
101.5,0,0.002,7.9,7.9,16.8
101.75,0,0.002,7.9,7.9,16.8
102,1,1.26,7.9,7.9,16.8
102.25,1,2.645,8,8,16.8
102.5,0,2.645,8,8,16.8
102.75,0,2.645,8,8,16.8
103,1,1.562,8,8,16.8
103.25,1,0.683,8.1,8.1,16.9
103.5,1,0.059,8.1,8.1,17.1
103.75,1,0.042,8.1,8.1,17.1
104,0,0.041,8.1,8.1,17.1
104.25,0,0.041,8.2,8.2,17.1
104.5,0,0.041,8.2,8.2,17.1
104.75,0,0.041,8.2,8.2,17.1
105,0,0.041,8.2,8.2,17.1
105.25,0,0.041,8.3,8.3,17.1
105.5,0,0.041,8.3,8.3,17.2
105.75,0,0.041,8.3,8.3,18
106,0,0.041,8.3,8.3,18.4
106.25,0,0.041,8.4,8.4,18.6
106.5,0,0.041,8.4,8.4,18.9
106.75,0,0.041,8.4,8.4,19.2
107,0,0.041,8.4,8.4,19.4
107.25,0,0.041,8.5,8.5,19.7
107.5,0,0.041,8.5,8.5,20
107.75,0,0.041,8.5,8.5,20.3
108,0,0.04,8.5,8.5,20.7
108.25,0,0.04,8.6,8.6,20.9
108.5,0,0.041,8.6,8.6,21.1
108.75,0,0.04,8.6,8.6,21.3
109,0,0.04,8.6,8.6,21.4
109.25,0,0.041,8.7,8.7,21.4
109.5,0,0.04,8.7,8.7,21.5
109.75,0,0.041,8.7,8.7,21.7
110,0,0.041,8.7,8.7,21.7
110.25,0,0.041,8.8,8.8,21.7
110.5,0,0.04,8.8,8.8,21.9
110.75,0,0.04,8.8,8.8,22
111,0,0.04,8.8,8.8,22.1
111.25,0,0.04,8.9,8.9,22.3
111.5,0,0.04,8.9,8.9,22.4
111.75,0,0.04,8.9,8.9,22.5
